番号,単語,意味
1186,acid,酸性の
1187,deaf,耳が不自由な
1188,medieval,中世の
1189,ecological,生態
1190,slight,少しの
1191,ignorant,無知な
1192,cognitive,認知
1193,absolutely,絶対に
1194,virtually,ほとんど
1195,somewhat,多少
1196,merely,単に
1197,literally,文字通り
1198,seemingly,一見
1199,regardless,関係なく
1200,thoroughly,徹底的に
1201,submit,Aに服従する、提出する
1202,tempt,誘惑する、する気にさせる
1203,resign,辞職する
1204,conform,従う
1205,confine,限定する
1206,assemble,組み立てる
1207,dedicate,ささげる
1208,advocate,主張する
1209,thrive,繁栄する
1210,provoke,引き起こす
1211,dictate,命じる、要求する、決定する
1212,exploit,利用する、開発する
1213,surrender,降伏する
1214,reproduce,再生する、複製する、繁殖する[させる]
1215,acknowledge,認める
1216,swell,ふくらむ
1217,shed,落とす
1218,wind,曲がる
1219,cite,引き合いに出す
1220,digest,消化する
1221,skip,とばす、抜かす
1222,bind,縛る、束縛する
1223,dissolve,溶解する
1224,implement,実行する
1225,steer,操縦する
1226,congratulate,祝福する
1227,designate,指定する
1228,violate,破る、違反する
1229,presume,推定する、思う
1230,recruit,（新人を）入れる
1231,coincide,同時に起きる、重なる
1232,enforce,施行する
1233,displace,とってかわる、故郷から追い出す
1234,shrink,縮む、縮ませる、減る
1235,betray,裏切る、もらす
1236,comprise,構成される、構成する、占める
1237,indulge,ふける
1238,penetrate,入り込む
1239,devastate,壊滅させる
1240,plunge,突っ込む
1241,bounce,はね返る
1242,contradict,矛盾する
1243,prescribe,処方する
1244,oppress,しいたげる
1245,cherish,胸に抱く
1246,illuminate,照らす、解明する
1247,trigger,きっかけになる
1248,commute,通勤する、通学する
1249,induce,誘う
1250,utilize,利用する
1251,snap,ポキンと折れる、ポキンと折る
1252,donate,提供する
1253,hatch,（卵?ヒナ）かえす、かえる
1254,enclose,囲む
1255,prevail,普及している、広まる
1256,sigh,ため息をつく
1257,leak,漏れる、漏らす
1258,compel,強制する
1259,crush,押しつぶす
1260,comprehend,理解する
1261,negotiate,交渉する
1262,persist,持続する、残る
1263,multiply,増やす、増える、掛ける
1264,conceive,想像する
1265,compensate,埋め合わせる
1266,suspend,中止する、つるす
1267,stir,かきたてる
1268,soak,浸す、びしょぬれにする、吸収する
1269,refine,洗練する、磨きをかける
1270,arouse,刺激する、かき立てる
1271,precede,先行する
1272,render,OをCにする、変える
1273,mount,すえつける、乗る
1274,retreat,退く
1275,startle,驚かせる
1276,dare,する勇気がある
1277,sphere,領域、範囲
1278,sequence,連続、順番、順序
1279,deposit,預金、頭金、堆積物
1280,poll,世論調査、投票
1281,caution,用心
1282,rage,激怒、怒り
1283,formula,式、公式、方法、秘訣、解決策
1284,plot,筋、たくらみ、陰謀
1285,scope,範囲
1286,norm,規範
1287,disgust,嫌悪
1288,compromise,妥協
1289,supervisor,監督者
1290,paradox,逆説
1291,tissue,（生物の）組織；ティッシュペーパー
1292,breakdown,崩壊
1293,initiative,構想、主導権、
1294,fabric,織物、布
1295,publicity,宣伝、広告
1296,summit,頂上、頂点、首脳会議
1297,flock,群れ
1298,plague,疫病
1299,haste,急ぐこと
1300,nap,うたた寝
1301,ally,同盟国
1302,draft,下書き、草稿
1303,spectacle,光景
1304,premise,前提
1305,asset,財産
1306,lag,遅れ
1307,therapy,療法、治療法
1308,reception,もてなし
1309,compound,化合物
1310,blessing,ありがたいもの、恵み
1311,sensation,感覚、感じ
1312,recession,不景気、不況
1313,pole,棒、極
1314,outlook,態度、考え方、見通し、見込み
1315,endeavor,活動
1316,mercy,慈悲、情け
1317,counterpart,相当するもの
1318,session,期間、討論
1319,spectrum,変動範囲、領域
1320,junk,くず、がらくた
1321,worship,崇拝
1322,apt,しがちである、する傾向がある
1323,humble,謙虚な、粗末な
1324,entitled,得る権利がある、題された
1325,valid,妥当な、正当な
1326,faint,かすかな
1327,stiff,堅い
1328,obscure,わかりにくい
1329,fierce,激しい
1330,acute,（問題が）深刻な、（感覚・痛みが）鋭い
1331,idle,（仕事がなくて）何もしていない
1332,crude,粗末な、粗野な
1333,jealous,嫉妬深い、羨ましい
1334,pregnant,妊娠している
1335,liable,しがちである、可能性が高い
1336,stubborn,頑固な
1337,decent,まともな
1338,marvelous,驚くべき
1339,misleading,誤解を招く
1340,synthetic,合成の
1341,classical,クラシックの
1342,Muslim,イスラム教の
1343,anticipate,予想する
1344,rub,こする
1345,dispose,処理する
1346,refrain,控える
1347,accumulate,蓄積する
1348,boost,活気づける
1349,drag,引きずる
1350,revise,修正する
1351,scratch,かく
1352,roar,ほえる
1353,quote,引用する
1354,bloom,咲く
1355,insert,差し込む
1356,awaiting,待つ
1357,dread,恐れる
1358,conceal,隠す
1359,enrich,豊かにする
1360,cling,固執する
1361,surpass,まさる
1362,suppress,抑える
1363,portray,描く
1364,soaring,急上昇する
1365,drain,排出する
1366,glow,ボーッと光る
1367,migrate,移住する
1368,exclaim,叫ぶ
1369,exert,及ぼす
1370,disguise,隠す
1371,accelerate,加速する
1372,dwell,住む
1373,integrate,融けこませる
1374,weep,泣く
1375,reassure,安心させる
1376,crawl,はって進む
1377,restrain,抑制する
1378,resent,腹を立てる
1379,yell,大声で叫ぶ
1380,assess,評価する
1381,carve,彫る
1382,halt,止める
1383,inspect,検査する
1384,tackle,取り組む
1385,omit,省く
1386,chew,かむ
1387,resume,再開する
1388,mold,作る
1389,accommodate,収容できる
1390,erase,消す
1391,inferred,推量する
1392,revive,生き返らせる
1393,contemplate,考える
1394,rotate,回転する
1395,disrupt,かき乱す
1396,navigate,進路を決める
1397,ache,痛む
1398,discard,捨てる
1399,incorporate,取り入れる
1400,overtake,追い越す
1401,supplement,補う
1402,manipulate,操作する
1403,nourish,養う
1404,squeeze,しぼる
1405,depict,描く
1406,distract,そらす
1407,disclose,暴露する
1408,enroll,入学する
1409,nurture,育てる
1410,speculate,推測する
1411,prolong,延ばす
1412,execute,処刑する
1413,uncover,明らかにする
1414,tremble,震える
1415,seize,つかむ
1416,abolish,廃止する
1417,scold,しかる
1418,attain,達成する
1419,utter,発する
1420,flee,逃げる
1421,offending,怒らせる
1422,confess,告白する
1423,postpone,延期する
1424,drift,漂う
1425,weave,織る
1426,install,備えつける
1427,twist,ねじ曲げる
1428,extract,取り出す
1429,bump,ぶつかる
1430,despise,軽蔑する
1431,tolerate,我慢する
1432,boast,自慢する
1433,flourishing,栄えている
1434,disregard,無視する
1435,tease,からかう
1436,reinforce,強める
1437,strive,努力する
1438,coordinate,合わせる
1439,yawn,あくびをする
1440,hug,抱きしめる
1441,combat,戦う
1442,knit,編む
1443,fatigue,疲労
1444,fame,名声
1445,mess,めちゃくちゃ
1446,dignity,尊厳
1447,canal,運河
1448,drought,干ばつ
1449,despair,絶望
1450,interval,間隔
1451,luggage,荷物
1452,behalf,代表して
1453,impulse,衝動
1454,debris,破片
1455,beast,野獣
1456,superstition,迷信
1457,illusion,幻想、錯覚
1458,thread,糸
1459,intake,摂取量
1460,feast,宴会
1461,transition,移り変わり
1462,misery,悲惨さ
1463,radiation,放射線
1464,log,丸太
1465,consensus,合意
1466,deed,行い
1467,proverb,ことわざ
1468,compliment,ほめ言葉
1469,flame,炎
1470,anniversary,記念日
1471,conscience,良心
1472,expedition,探検
1473,offspring,子孫
1474,allowance,こづかい
1475,headline,大見出し
1476,treaty,条約
1477,monument,記念碑
1478,worm,虫
1479,remedy,治療法
1480,encyclopedia,百科事典
1481,glimpse,ちらり
1482,personnel,職員
1483,triumph,勝利
1484,arithmetic,算数
1485,self-esteem,自尊心
1486,microbe,微生物
1487,odds,可能性
1488,chaos,混沌
1489,destiny,運命
1490,diameter,直径
1491,lottery,宝くじ
1492,souvenir,みやげ物
1493,trail,小道
1494,ratio,比率
1495,sword,剣
1496,whistle,笛
1497,sentiment,感情
1498,chore,雑用
1499,courtesy,礼儀
1500,mayor,市長
1501,surveillance,監視、見張り
1502,trash,ごみ
1503,prestige,名声
1504,headquarters,本部、本社
1505,wilderness,荒野
1506,orbit,軌道
1507,bias,偏見
1508,republic,共和国
1509,bargain,掘り出し物
1510,domain,領域
1511,fragment,破片
1512,galaxy,星雲
1513,lap,ひざ
1514,deadline,締め切り
1515,bullet,弾丸
1516,pedestrian,歩行者
1517,wit,機知
1518,nuisance,迷惑
1519,criteria,基準
1520,hardship,苦難
1521,glory,栄光
1522,pavement,歩道
1523,navy,海軍
1524,script,台本
1525,pension,年金
1526,province,州
1527,surplus,余剰
1528,moisture,水分
1529,patch,あて布
1530,altitude,高度、標高
1531,thermometer,温度計
1532,tuition,授業料
1533,troop,軍隊
1534,primate,霊長類
1535,flaw,欠陥
1536,nephew,甥
1537,garment,衣服、衣類
1538,diagnosis,診断
1539,commerce,商業
1540,antiquity,古代、古物
1541,fraction,ほんの一部
1542,irony,皮肉
1543,nightmare,悪夢
1544,defect,欠陥
1545,certificate,証明書
1546,decay,腐敗
1547,erosion,浸食
1548,recipe,秘けつ
1549,skeleton,骨格
1550,grace,優雅さ
1551,landmark,名所
1552,dementia,認知症
1553,flesh,肉
1554,collision,衝突、対立
1555,hazard,危険なもの
1556,tomb,墓
1557,injection,注射
1558,breakthrough,飛躍的進歩
1559,leather,革
1560,jewelry,宝石
1561,cue,合図
1562,ambulance,救急車
1563,estate,不動産
1564,commodity,商品
1565,departure,出発
1566,phase,段階
1567,thief,泥棒
1568,saint,聖
1569,sculpture,彫刻
1570,grief,悲しみ
1571,lane,車線
1572,predator,捕食動物
1573,fluid,流体
1574,incentive,はげみ
1575,bride,花嫁
1576,intervention,介入
1577,margin,差
1578,biography,伝記
1579,consent,同意
1580,volcano,火山
1581,rebel,反逆者
1582,metaphor,比喩
1583,legislation,法律
1584,lightning,雷
1585,pesticide,殺虫剤
1586,column,コラム
1587,rumor,うわさ
1588,dust,ほこり
1589,dialogue,対話
1590,kindergarten,幼稚園
1591,diabetes,糖尿病
1592,obesity,肥満
1593,patent,特許
1594,chapter,章
1595,palace,宮殿
1596,laundry,洗濯
1597,ward,病棟
1598,outbreak,ぼっ発
1599,equation,方程式
1600,archaeologist,考古学者
1601,corruption,腐敗
1602,germ,細菌
1603,revenue,収入
1604,spouse,配偶者
1605,epidemic,流行
1606,mortality,死亡
1607,syndrome,症候群
1608,retail,小売り
1609,dose,量
1610,beverage,飲み物
1611,metabolism,新陳代謝
1612,hybrid,交配種
1613,scent,香り
1614,inflammation,炎症
1615,pill,薬
1616,grave,重大な
1617,fertile,肥えた
1618,hostile,反感を持つ
1619,indispensable,不可欠な
1620,oriented,志向の
1621,splendid,すばらしい
1622,competent,有能な
1623,supreme,最高の
1624,straightforward,わかりやすい
1625,sacred,聖
1626,bold,大胆な
1627,uneasy,不安な
1628,neat,きちんとした
1629,shallow,浅い
1630,fake,偽物の
1631,superficial,表面的な
1632,absurd,ばかげた
1633,fragile,壊れやすい
1634,respectable,ちゃんとした
1635,magnificent,すばらしい
1636,infinite,無限の
1637,comprehensive,包括的な
1638,steep,険しい
1639,gross,総
1640,subsequent,次に起こる
1641,sincere,心からの
1642,toxic,有毒な
1643,neutral,中立の
1644,diligent,勤勉な
1645,sore,痛い
1646,contaminated,汚染された
1647,ambiguous,あいまいな
1648,oral,口述の
1649,restless,落ち着かない
1650,rotten,腐った
1651,vigorous,精力的な
1652,immense,莫大な
1653,metropolitan,大都市の
1654,punctual,時間をきっちり守る
1655,solitary,孤独な
1656,collective,集団
1657,diplomatic,外交の
1658,nasty,不快な
1659,helpless,無力な
1660,explicit,明確な、はっきりした
1661,bankrupt,破産した
1662,eternal,永遠の
1663,sole,唯一の
1664,sour,すっぱい
1665,notable,注目すべき
1666,affluent,裕福な
1667,naked,裸の
1668,vocal,発声
1669,feminine,女性の
1670,vacant,空いている
1671,exotic,外来の
1672,rigid,厳格な
1673,humid,蒸し暑い
1674,outstanding,傑出した
1675,addicted,中毒である
1676,vulnerable,受けやすい
1677,spontaneous,自然に起こる
1678,greedy,貪欲な
1679,trivial,ささいな
1680,per capita,一人当たりの
1681,inherent,元から伴う
1682,promising,前途有望な
1683,physiological,生理的な
1684,clinical,臨床
1685,chronic,慢性の
1686,geological,地質学的な
1687,countless,無数の
1688,innate,先天的な
1689,alert,用心する
1690,autonomous,自動運転
1691,simultaneously,同時に
1692,utterly,まったく
1693,drastically,劇的に
1694,necessarily,必ずしも
1695,thereby,そうすることで
1696,frankly,率直に
1697,namely,すなわち
1698,hence,だから
1699,via,経由で
1700,owing,のために
1701,clarify,明らかにする
1702,smash,粉々に砕く
1703,mourn,悲しむ
1704,summon,呼ぶ
1705,shatter,粉々にする
1706,linger,残る
1707,lament,嘆く
1708,endowed,恵まれる
1709,rejoice,喜ぶ
1710,allocate,配分する
1711,slap,ピシャリと打つ
1712,contend,主張する
1713,swear,誓う
1714,discern,識別する
1715,degrade,悪化させる
1716,erect,築く
1717,testify,証言する
1718,spur,駆りたてる
1719,roam,歩き回る
1720,frown,まゆをひそめる
1721,lure,呼び込む
1722,defy,逆らう
1723,stroll,ぶらつく
1724,rattle,がたがた鳴らす
1725,reconcile,調和させる
1726,blur,ぼやかす
1727,soothe,なだめる
1728,impair,低下させる
1729,comply,従う
1730,pierce,穴をあける
1731,stumble,つまずく
1732,hinder,さまたげる
1733,mock,あざける
1734,embody,具現する
1735,stalk,忍び寄る
1736,proclaim,宣言する
1737,applaud,拍手する
1738,inflict,与える
1739,merge,合併する
1740,evacuated,避難した
1741,undone,元に戻る
1742,poke,突く
1743,haunted,つきまとわれる
1744,adhere,固く守る
1745,compile,まとめる
1746,wither,しぼむ
1747,stun,びっくりさせる
1748,choke,のどがつまる
1749,deteriorate,悪化する
1750,dump,捨てる
1751,murmur,つぶやく
1752,delete,削除する
1753,inhibit,阻害する
1754,divert,そらす
1755,tame,飼いならす
1756,reap,手に入れる
1757,affirm,断言する
1758,immersed,浸る
1759,expire,期限が切れる
1760,embark,乗り出す
1761,vow,誓う
1762,foresee,予知する
1763,adore,崇拝する
1764,yearn,切望する
1765,undermine,弱める
1766,suck,吸う
1767,pledge,誓う
1768,intrude,立ち入る
1769,sue,訴える
1770,distort,歪曲する
1771,extinguish,消す
1772,preach,説教する
1773,curb,抑制する
1774,withstand,耐える
1775,dip,浸す
1776,recite,暗唱する
1777,thrust,押し込む
1778,plead,嘆願する
1779,humiliate,恥をかかせる
1780,discharge,放出する
1781,condemn,非難する
1782,retrieve,検索する
1783,shrug,肩をすくめる
1784,evoke,呼び起こす
1785,fetch,取ってくる
1786,flatter,お世辞を言う
1787,prose,散文
1788,textile,織物
1789,timber,材木
1790,masterpiece,傑作
1791,riot,暴動
1792,carriage,車両
1793,apparatus,装置
1794,fuss,大騒ぎ
1795,deficiency,欠乏
1796,heir,相続人
1797,equator,赤道
1798,petroleum,石油
1799,witch,魔女
1800,vapor,蒸気
1801,probe,探査機
1802,expertise,専門知識
1803,scorn,軽蔑
1804,prophet,預言者
1805,breeze,そよ風
1806,sin,罪
1807,surge,急増
1808,complement,補うもの
1809,queue,列
1810,stake,賭け金
1811,ambassador,大使
1812,jury,陪審員
1813,cluster,集団
1814,lump,こぶ
1815,meadow,牧草地
1816,feat,偉業
1817,temperament,気質
1818,chill,寒気
1819,appliance,器具
1820,predecessor,前任者
1821,entity,存在
1822,hospitality,もてなし
1823,narrative,話
1824,segment,部分、区分
1825,catastrophe,大災害
1826,monarch,君主、皇帝
1827,constraint,制約
1828,amendment,改正、修正
1829,cosmos,宇宙
1830,aisle,通路
1831,hierarchy,階級制度
1832,toll,通行料
1833,transaction,取引
1834,burglar,強盗
1835,tyranny,圧政
1836,parasite,寄生生物
1837,intuition,直感
1838,communist,共産主義の
1839,legacy,遺産
1840,vein,静脈
1841,discourse,論説
1842,dairy,乳製品、酪農
1843,artifact,工芸品
1844,outlet,はけ口
1845,apprehension,不安
1846,melancholy,憂うつ
1847,novelty,目新しさ
1848,specimen,標本
1849,hygiene,衛生
1850,tactics,戦術
1851,monopoly,独占
1852,token,印
1853,aristocracy,貴族階級
1854,revenge,復讐
1855,activist,活動家
1856,rhetoric,美辞麗句
1857,entrepreneur,起業家
1858,census,国勢調査
1859,verge,瀬戸際
1860,advent,出現、到来
1861,analogy,類似点
1862,irrigation,灌漑
1863,coverage,報道
1864,cuisine,料理
1865,menace,脅威
1866,peril,危険
1867,limb,手足
1868,assault,攻撃
1869,hatred,憎しみ
1870,autonomy,自主性
1871,cram,塾
1872,subsidy,補助金
1873,empathy,共感
1874,slang,俗語
1875,posture,姿勢
1876,ideology,イデオロギー
1877,curse,災いのもと
1878,tumor,腫瘍
1879,intersection,交差点
1880,duration,期間
1881,deforestation,森林破壊
1882,precaution,用心
1883,bunch,ひとたばの
1884,shortcoming,欠点
1885,aspiration,熱望
1886,psychiatrist,精神科医
1887,shipping,発送
1888,senator,上院議員
1889,statesman,政治家
1890,subordinate,部下
1891,vacuum,空白
1892,quest,探究
1893,meditation,瞑想
1894,subscriber,加入者
1895,riddle,謎
1896,rag,ぼろ
1897,rust,さび
1898,sanitation,衛生
1899,midst,まっただ中
1900,mischief,いたずら
1901,proficiency,検定
1902,recollection,記憶
1903,latitude,緯
1904,friction,摩擦
1905,botanist,植物学者
1906,heredity,遺伝
1907,contempt,軽蔑
1908,anatomy,構造
1909,integrity,誠実
1910,cargo,貨物
1911,bribe,わいろ
1912,eruption,噴火
1913,funeral,葬式
1914,deficit,赤字
1915,bulk,大部分
1916,millionaire,百万長者
1917,ash,灰
1918,realm,領域
1919,plantation,農園
1920,plow,すき
1921,vending,販売
1922,orphan,孤児
1923,neuron,神経細胞
1924,vegetation,植生
1925,warrior,戦士
1926,mutation,突然変異
1927,sewage,下水
1928,paradigm,理論的枠組
1929,protocol,議定書
1930,skyscraper,高層ビル
1931,accord,一致
1932,bureaucrat,官僚
1933,array,多彩
1934,clash,衝突
1935,torture,拷問
1936,reign,統治
1937,thesis,論文
1938,digit,桁
1939,agenda,課題
1940,onset,発症
1941,peasant,小作農
1942,ultraviolet,紫外
1943,renowned,有名な
1944,transparent,透き通った
1945,dim,薄暗い
1946,legitimate,正当な
1947,adverse,悪
1948,swift,すばやい
1949,naive,世間知らずの
1950,dumb,ばか
1951,gloomy,暗い
1952,furious,激怒した
1953,earnest,まじめな
1954,terrific,すばらしい
1955,vertical,垂直な
1956,wicked,邪悪な
1957,subjective,主観的な
1958,enlightened,進んだ考えの
1959,authentic,本物の
1960,brutal,残忍な
1961,dizzy,めまい
1962,sheer,まったくの
1963,naughty,いたずらな
1964,damp,湿った
1965,static,静的な
1966,doomed,運命にある
1967,respiratory,呼吸器に関する、呼吸の
1968,innumerable,無数の
1969,clumsy,不器用な
1970,aesthetic,美的
1971,obsessed,とりつかれている
1972,detached,切り離された
1973,wrecked,難破した
1974,reckless,無謀な
1975,arrogant,傲慢な
1976,preoccupied,頭がいっぱいだ
1977,gigantic,巨大な
1978,conspicuous,顕著な
1979,slender,すらりとした
1980,manifest,明らかな
1981,tidy,きちんと
1982,skeptical,懐疑的な
1983,notorious,悪名高い
1984,anonymous,匿名の
1985,monotonous,単調な
1986,ample,豊富に
1987,trim,こぎれいな
1988,savage,野蛮な
1989,coherent,一貫した
1990,eloquent,雄弁な
1991,foul,不快な
1992,juvenile,青少年の
1993,compulsory,義務的な
1994,prone,やすい
1995,arbitrary,勝手な
1996,ingenious,独創的な
1997,divine,神聖なる
1998,tender,やさしい
1999,outraged,憤慨している
2000,intrinsic,本来の
2001,paralyzed,麻痺している
2002,compatible,適合する
2003,patriotic,愛国的な
2004,eminent,名高い
2005,potent,強力な
2006,insane,正気を失っている
2007,staple,主要な
2008,secondhand,間接
2009,indigenous,先住
2010,utmost,最も
2011,integral,不可欠な
2012,intricate,複雑な
2013,demographic,人口統計の
2014,mighty,強力な
2015,intact,無傷の
2016,intent,決意をしている
2017,intriguing,興味深い
2018,merry,陽気な
2019,perpetual,永続する
2020,spinal,脊椎の
2021,susceptible,かかりやすい
2022,mandatory,義務的な
2023,upright,まっすぐに
2024,abruptly,不意に
2025,conversely,逆に
2026,predominantly,主に
2027,lest,～しないように
